timezone,weekday,hour,return_std
JST,5,16,0.0024153491685500964
JST,5,17,0.0015119230727278906
JST,5,18,0.0012919610653177496
JST,5,19,0.0011446106381317197
JST,5,20,0.0011344731215717843
JST,5,21,0.001506216293718233
JST,5,22,0.0014725008931277365
JST,5,23,0.0019517368234999004
JST,6,0,0.0016927344850063597
JST,6,1,0.0013285428234986064
JST,6,2,0.0018776247908994987
JST,6,3,0.0015427659789253613
JST,6,4,0.0014238192675330957
JST,6,5,0.0012912424414256625
JST,6,6,0.0015255347919161078
JST,6,7,0.0011726914463306122
JST,6,8,0.001348584118676076
JST,6,9,0.0019277416707678752
JST,6,10,0.0020695616295618533
JST,6,11,0.0017221916383257153
JST,6,12,0.0012918080654802744
JST,6,13,0.0013097659513558288
JST,6,14,0.0013006677582715332
JST,6,15,0.0011550030198625208
JST,6,16,0.0011162822686695843
JST,6,17,0.0013851097958781323
JST,6,18,0.00179024750840231
JST,6,19,0.0013764209217020683
JST,6,20,0.0014907326486831485
JST,6,21,0.0015614003394114956
JST,6,22,0.0019109236858931532
JST,6,23,0.0018157221666606413
