month,train_start,model_fit_end,train_rows,gate_label_end,test_rows,converged,gmm_converged,hmm_train_min_occupancy,gmm_train_min_occupancy,hmm_mean_max_probability,gmm_mean_max_probability,hmm_seed_ari,gmm_seed_ari,trend_allowed_states,reversion_allowed_states,gmm_trend_allowed_states,gmm_reversion_allowed_states,hmm_retraining_ari,gmm_retraining_ari,retraining_stability_status
2025-01-01T00:00:00+00:00,2023-01-02T00:00:00+00:00,2024-12-31T23:00:00+00:00,17519,2024-12-31T23:00:00+00:00,744,True,True,0.20246589417204178,0.15097893715394714,0.9680380754807945,0.9232805238924024,0.37074381977375725,1.0,bull_trend|quiet_range|stress_proxy,bull_trend|quiet_range|volatile_transition,bull_trend|volatile_transition,quiet_range,0.4883635999202031,0.8694411269451116,ok
2025-02-01T00:00:00+00:00,2023-02-02T00:00:00+00:00,2025-01-31T23:00:00+00:00,17519,2025-01-31T23:00:00+00:00,672,True,True,0.20668987955933557,0.1529767680803699,0.9759289585201026,0.9120174597070262,0.3849291678545813,0.9989104497252705,bull_trend|quiet_range|stress_proxy,bull_trend|quiet_range,bull_trend|volatile_transition,bear_stress|bull_trend,0.7133607628417709,0.7657129812570325,ok
2025-03-01T00:00:00+00:00,2023-03-02T00:00:00+00:00,2025-02-28T23:00:00+00:00,17519,2025-02-28T23:00:00+00:00,744,True,True,0.19784234259946343,0.1513785033392317,0.9774266344417465,0.9360934921378664,0.378904753574566,0.9938832127116406,bull_trend|quiet_range|stress_proxy,bull_trend|quiet_range,bull_trend|volatile_transition,bear_stress|bull_trend,0.7461615731311271,0.9223049048556765,ok
2025-04-01T00:00:00+00:00,2023-04-02T00:00:00+00:00,2025-03-31T23:00:00+00:00,17519,2025-03-31T23:00:00+00:00,720,True,True,0.2042924824476283,0.1637079741994406,0.9742085441351542,0.9336545013511856,0.389501479535493,0.5308967543715292,quiet_range|stress_proxy,bull_trend|quiet_range,bull_trend|volatile_transition,bear_stress,0.7779122678520289,0.8979701206517788,ok
2025-05-01T00:00:00+00:00,2023-05-02T00:00:00+00:00,2025-04-30T23:00:00+00:00,17519,2025-04-30T23:00:00+00:00,744,True,True,0.20623323249043896,0.1605685256007763,0.9546966301032491,0.9248239287713471,0.9974589490210113,0.5354266489364609,bull_trend|quiet_range|stress_proxy,bull_trend|quiet_range,bull_trend|volatile_transition,bear_stress,0.9855089781246454,0.9159714035372296,ok
2025-06-01T00:00:00+00:00,2023-06-02T00:00:00+00:00,2025-05-31T23:00:00+00:00,17519,2025-05-31T23:00:00+00:00,720,True,True,0.15217763570980078,0.1556024887265255,0.9644087732052539,0.9191992622966418,0.6967401047166704,0.8416607360448694,bull_trend|quiet_range|stress_proxy,bull_trend|quiet_range|volatile_transition,bull_trend|quiet_range|volatile_transition,bear_stress|bull_trend,0.8470919714448791,0.8631785546825766,ok
2025-07-01T00:00:00+00:00,2023-07-02T00:00:00+00:00,2025-06-30T23:00:00+00:00,17519,2025-06-30T23:00:00+00:00,744,True,True,0.1997830926422741,0.13756492950510874,0.9740172900823918,0.8305820160099201,0.35512828342456687,0.9914871775395543,bull_trend|quiet_range|stress_proxy,bull_trend|quiet_range,bull_trend|quiet_range|volatile_transition,bear_stress|volatile_transition,0.9005389822293747,0.83488983997905,ok
2025-08-01T00:00:00+00:00,2023-08-02T00:00:00+00:00,2025-07-31T23:00:00+00:00,17519,2025-07-31T23:00:00+00:00,744,True,True,0.2000684970603345,0.12808950282550374,0.95707792962505,0.9485064981342354,0.8276073122487662,0.659659114699863,bull_trend|quiet_range|stress_proxy,bull_trend|quiet_range,bull_trend|quiet_range|volatile_transition,bear_stress|volatile_transition,0.9652103493389523,0.5226461967983224,ok
2025-09-01T00:00:00+00:00,2023-09-02T00:00:00+00:00,2025-08-31T23:00:00+00:00,17519,2025-08-31T23:00:00+00:00,720,True,True,0.1637650550830527,0.17860608482219303,0.9773394602592904,0.9212295144647035,0.3596171379198725,0.9353757878402357,bull_trend|quiet_range,bull_trend|quiet_range|volatile_transition,bull_trend|volatile_transition,bear_stress|bull_trend|quiet_range,0.4706842702557122,0.5494212274978755,ok
2025-10-01T00:00:00+00:00,2023-10-02T00:00:00+00:00,2025-09-30T23:00:00+00:00,17519,2025-09-30T23:00:00+00:00,744,True,True,0.1626805182944232,0.1758662024088133,0.967891785285425,0.9424483688067836,0.38637504563177405,0.9668112789294111,bull_trend|quiet_range,bull_trend|quiet_range|volatile_transition,bull_trend|quiet_range|volatile_transition,bear_stress|bull_trend|volatile_transition,0.8792925719458787,0.691582211868026,ok
